State
19 with flexible A + 6
21 with flexible A + 7
10 without flexible A + 3
21 with flexible A + 3
11 without flexible A + 7
10 without flexible A + 2
9 without flexible A + 5
10 without flexible A + 4
11 without flexible A + 8
11 without flexible A + 2
21 with flexible A + 4
21 with flexible A + 5
11 without flexible A + 6
21 with flexible A + 6
21 with flexible A + 8
10 without flexible A + 5
11 without flexible A + 3
20 with flexible A + 6
11 without flexible A + 4
10 without flexible A + 6
11 without flexible A + 5
10 without flexible A + 7
20 with flexible A + 7
20 with flexible A + 4
20 with flexible A + 5
21 with flexible A + 2
10 without flexible A + 8
9 without flexible A + 6
