Double If
10 without A + 8
11 without A + 3
10 without A + 3
11 without A + 2
9 without A + 7
10 without A + 9
11 without A + 10
10 without A + 10
10 without A + 7
11 without A + 9
9 without A + 3
9 without A + 8
11 without A + 7
9 without A + 4
11 without A + 6
11 without A + 4
10 without A + 4
8 without A + 5
9 without A + 6
8 without A + 3
8 without A + 6
11 without A + 5
9 without A + 5
10 without A + 5
11 without A + 8
10 without A + 2
9 without A + 2
10 without A + 6
8 without A + 4
