Hit If
8 without A + 10
13 without A + 10
10 without A + 8
11 without A + 3
7 without A + 10
14 without A + 10
16 with A + 8
10 without A + 3
12 without A + 4
13 with A + A
16 with A + 9
13 without A + 7
11 without A + 2
14 with A + 7
12 without A + 5
13 with A + 5
17 with A + 5
10 without A + A
13 without A + 9
12 with A + 6
15 with A + A
16 with A + A
9 without A + 7
9 without A + A
11 without A + A
10 without A + 9
11 without A + 10
15 with A + 4
17 with A + 4
12 without A + A
14 without A + 7
14 with A + 10
17 with A + 10
13 without A + 5
12 without A + 10
13 without A + A
17 with A + A
16 with A + 10
10 without A + 10
14 without A + A
5 without A + 7
9 without A + 10
14 without A + 4
12 without A + 7
14 without A + 2
5 without A + 10
4 without A + 10
12 without A + 2
16 with A + 5
12 with A + 2
10 without A + 7
6 without A + 10
15 with A + 5
14 without A + 6
9 without A + 9
15 with A + 10
14 with A + A
14 without A + 8
11 without A + 9
4 without A + 4
18 with A + 5
6 without A + 3
8 without A + 7
13 without A + 8
14 with A + 8
13 with A + 4
8 without A + 2
13 without A + 2
7 without A + 3
9 without A + 3
9 without A + 8
15 with A + 3
15 with A + 9
12 with A + 3
8 without A + 8
12 without A + 8
11 without A + 7
9 without A + 4
13 with A + 10
17 with A + 7
13 with A + 8
12 with A + 8
17 with A + 8
5 without A + 9
14 without A + 9
12 with A + 5
13 without A + 6
12 without A + 9
13 with A + 6
4 without A + A
6 without A + 4
11 without A + 6
17 with A + 6
15 with A + 6
14 without A + 5
12 without A + 3
13 with A + 3
12 with A + 10
5 without A + A
8 without A + A
14 with A + 5
15 with A + 8
11 without A + 4
10 without A + 4
13 without A + 3
8 without A + 5
13 without A + 4
16 with A + 4
4 without A + 8
14 with A + 2
17 with A + 2
13 with A + 9
14 with A + 9
16 with A + 6
4 without A + 2
7 without A + 2
17 with A + 3
9 without A + 6
18 with A + 4
14 with A + 6
7 without A + 9
14 with A + 3
8 without A + 3
12 with A + 4
18 with A + 8
8 without A + 6
14 with A + 4
11 without A + 5
16 with A + 2
15 with A + 2
7 without A + 4
6 without A + 2
6 without A + A
12 without A + 6
4 without A + 5
7 without A + 5
13 with A + 7
12 with A + A
5 without A + 3
16 with A + 3
9 without A + 5
12 with A + 9
17 with A + 9
7 without A + 8
4 without A + 6
4 without A + 7
15 with A + 7
7 without A + A
10 without A + 5
5 without A + 4
11 without A + 8
8 without A + 9
10 without A + 2
9 without A + 2
13 with A + 2
14 without A + 3
10 without A + 6
8 without A + 4
6 without A + 7
16 with A + 7
4 without A + 9
6 without A + 5
6 without A + 6
12 with A + 7
5 without A + 2
7 without A + 7
5 without A + 8
4 without A + 3
7 without A + 6
5 without A + 6
6 without A + 9
6 without A + 8
5 without A + 5
16 without A + A
15 without A + A
