State,Not Losing Chance,Win Rate
20 without A + 9,1.0,0.9226013281428899
14 with A + 10,0.9458780543503083,0.9458780543503083
13 with A + 10,0.9539065053939196,0.9539065053939196
19 with A + 10,0.9869915633689965,0.978083612197766
17 without A + 7,0.9024220651292154,0.88689303511415
18 with A + A,0.6512651265126512,0.4888888888888889
13 with A + A,0.3401294498381877,0.3401294498381877
19 with A + A,0.8254027032031105,0.6639511201629328
17 without A + 10,0.966305201034974,0.9494432654010524
15 without A + 4,0.8994119088458711,0.8994119088458711
16 with A + 4,0.8962386511024644,0.8962386511024644
14 without A + 8,0.9015654351909831,0.9015654351909831
15 without A + 9,0.9026962252846016,0.9026962252846016
20 with A + 7,1.0,0.989861653817721
17 with A + 7,0.9109077775102336,0.8952564411268962
11 without A + 8,0.8985639389104172,0.8985639389104172
12 with A + 8,0.8970519419747309,0.8970519419747309
21 with A + 8,1.0,1.0
14 with A + 3,0.8959414098260604,0.8959414098260604
16 with A + 3,0.8945703742751713,0.8945703742751713
20 with A + 3,1.0,0.9725940761041425
15 without A + 6,0.8643349872927508,0.8643349872927508
20 without A + 3,1.0,0.9763122274026169
13 without A + 7,0.8968356058657062,0.8968356058657062
19 without A + 7,0.9890960636789882,0.9851706466034238
20 without A + 2,1.0,0.9734241652942057
13 without A + 6,0.8661437908496732,0.8661437908496732
16 without A + 6,0.855323239605864,0.855323239605864
21 without A + 6,1.0,1.0
15 without A + 3,0.8938238188976378,0.8938238188976378
11 with A + 7,0.8941598144634197,0.8941598144634197
19 with A + 7,0.9911654135338346,0.9885338345864662
8 without A + 7,0.8902743142144638,0.8902743142144638
12 without A + 7,0.8914415551628376,0.8914415551628376
18 without A + 7,0.9853375767219823,0.9003182541486702
21 with A + 7,1.0,1.0
19 without A + A,0.8310788518640713,0.6551193225558122
13 without A + 4,0.8980908152734778,0.8980908152734778
16 without A + 4,0.898981426003595,0.898981426003595
19 without A + 4,0.975201072386059,0.9529714030384272
15 without A + 10,0.9502742450726297,0.9502742450726297
13 without A + 10,0.9511139605706043,0.9511139605706043
21 without A + 10,1.0,1.0
20 without A + A,1.0,0.8371186567723559
10 without A + 2,0.8836443468715697,0.8836443468715697
18 without A + 2,0.9430255402750491,0.9143649601294349
21 without A + 2,1.0,1.0
14 without A + 3,0.8946783553525126,0.8946783553525126
17 without A + 3,0.9219743382267946,0.8909952606635071
18 without A + 10,0.9800325312692804,0.9696000897414325
20 without A + 8,1.0,0.9964941696517033
7 without A + 10,0.949515816655907,0.949515816655907
19 without A + 10,0.9897754499359225,0.9790215634925057
14 without A + 5,0.9158366533864541,0.9158366533864541
10 without A + 7,0.8885081707959936,0.8885081707959936
15 without A + 7,0.8942784565138503,0.8942784565138503
9 without A + 10,0.9509930566768933,0.9509930566768933
11 without A + 10,0.9519398124754366,0.9519398124754366
12 with A + 10,0.9521351478179259,0.9521351478179259
15 with A + 10,0.9484055145522907,0.9484055145522907
20 with A + 10,1.0,0.9885845944389171
10 without A + 10,0.9508349411216819,0.9508349411216819
16 without A + 5,0.9085686931546194,0.9085686931546194
18 without A + 5,0.9549041713641488,0.9335963923337092
19 with A + 5,0.9738438210765732,0.949393479909022
20 with A + 5,1.0,0.976501860712387
20 without A + 10,1.0,0.9899732747019466
19 without A + 3,0.9749771480804388,0.9515539305301646
11 with A + 2,0.8866213151927438,0.8866213151927438
17 with A + 2,0.9208984375,0.892578125
17 without A + 6,0.974045449302111,0.8644595685776906
12 with A + A,0.32056737588652484,0.32056737588652484
20 with A + A,1.0,0.8310839308308731
18 with A + 10,0.9777024021352313,0.9663033807829181
18 without A + A,0.6622331507767967,0.49144964792667933
21 without A + A,1.0,1.0
12 without A + 4,0.9045425463851567,0.9045425463851567
12 without A + 6,0.8677082020914704,0.8677082020914704
10 without A + 3,0.8914666666666666,0.8914666666666666
12 without A + 3,0.8942540451012868,0.8942540451012868
14 without A + 10,0.9513562051027991,0.9513562051027991
9 without A + A,0.32610837438423645,0.32610837438423645
19 without A + 8,0.9974728051862433,0.9146247665091748
20 with A + 4,1.0,0.9765775401069519
14 without A + 6,0.864486560138734,0.864486560138734
20 without A + 6,1.0,0.9907097167225098
17 without A + 8,0.907697666318356,0.8969000348310693
7 without A + 2,0.8851214574898786,0.8851214574898786
17 without A + 2,0.9169041376952012,0.8833922261484098
18 with A + 2,0.942489851150203,0.9122688317546234
13 without A + 5,0.9089871973634174,0.9089871973634174
9 without A + 6,0.8652482269503546,0.8652482269503546
19 without A + 2,0.9703965536286314,0.9431127802938253
19 with A + 6,0.9904049126847054,0.9763960852043754
9 without A + 9,0.9036340038935756,0.9036340038935756
19 without A + 9,0.9225842076200994,0.9208172280508007
16 without A + 10,0.9514936409346347,0.9514936409346347
11 with A + 5,0.9125822193931679,0.9125822193931679
15 with A + 5,0.9098796529527008,0.9098796529527008
21 with A + 10,1.0,1.0
12 without A + 10,0.9511602209944752,0.9511602209944752
12 with A + 5,0.8903285515964832,0.8903285515964832
21 with A + 5,1.0,1.0
21 without A + 4,1.0,1.0
21 with A + 4,1.0,1.0
12 without A + 2,0.8822322001282874,0.8822322001282874
15 without A + 5,0.9101643335362143,0.9101643335362143
17 with A + 10,0.9685278570994592,0.950604532474634
21 without A + 7,1.0,1.0
7 without A + 6,0.8769861609431061,0.8769861609431061
14 with A + 8,0.9032846715328468,0.9032846715328468
9 without A + 8,0.8949054790131368,0.8949054790131368
21 without A + 8,1.0,1.0
7 without A + 7,0.8890046899426784,0.8890046899426784
18 with A + 7,0.9854147675478578,0.900865998176846
13 without A + 9,0.9077101300038615,0.9077101300038615
14 with A + 9,0.9057017543859649,0.9057017543859649
16 with A + A,0.31886694386694386,0.31886694386694386
14 with A + A,0.3255446795074203,0.3255446795074203
21 with A + A,1.0,1.0
14 without A + 7,0.8881023348236463,0.8881023348236463
18 without A + 9,0.9162168241115609,0.9131803868645973
11 with A + 10,0.9469247580393381,0.9469247580393381
6 without A + A,0.29582448690728946,0.29582448690728946
15 without A + A,0.32261991721451183,0.32261991721451183
15 without A + 8,0.89630698905329,0.89630698905329
11 with A + 6,0.8691410392364793,0.8691410392364793
12 with A + 6,0.8813478879924063,0.8813478879924063
20 with A + 6,1.0,0.9899247003924064
5 without A + 8,0.8986928104575164,0.8986928104575164
8 without A + 8,0.9034733441033925,0.9034733441033925
12 without A + 8,0.9033117624666921,0.9033117624666921
12 without A + 9,0.9019458222052652,0.9019458222052652
13 with A + 9,0.8943862987630827,0.8943862987630827
20 without A + 4,1.0,0.975523940645556
16 without A + 9,0.9027761370348494,0.9027761370348494
7 without A + 5,0.9078125,0.9078125
19 without A + 5,0.9771422137146718,0.9524828285103029
11 without A + 4,0.9012760241773002,0.9012760241773002
21 without A + 3,1.0,1.0
20 with A + 9,1.0,0.9208850512682137
10 without A + 6,0.865814696485623,0.865814696485623
17 without A + 9,0.9172541315150815,0.9073153819484572
6 without A + 7,0.8887303851640513,0.8887303851640513
20 without A + 7,1.0,0.9886925265837951
11 with A + 3,0.8935146443514644,0.8935146443514644
18 with A + 3,0.9470970634386908,0.9258013898229097
17 without A + 5,0.9326660600545951,0.9126478616924477
16 without A + 7,0.8909450651769087,0.8909450651769087
9 without A + 4,0.9014267185473411,0.9014267185473411
18 with A + 5,0.9528945630640546,0.9315430332379485
16 with A + 5,0.906784188034188,0.906784188034188
19 with A + 2,0.971563088512241,0.9483992467043314
14 with A + 2,0.8844668844668845,0.8844668844668845
8 without A + 6,0.8662650602409638,0.8662650602409638
18 without A + 6,0.9754125968339509,0.9718199169192769
16 with A + 9,0.8997895844292477,0.8997895844292477
6 without A + 2,0.8813803019410497,0.8813803019410497
